Name,Description,Address,Website ,Outdoor/Indoor,"Budget per person 

Free
Low ($1-$20)
High ($20+)","What kind of vibe are you looking for?

Chill/ Sport / Study/ Social/ Romantic","Distance from residence

short (0-3 km)
medium (3 - 5 km)
high (5+km)",Food available? (Y/N),Plugs/outlets available? (Y/N),Free Wifi available?,Do you want a Quiet or crowded place?,Wheelchair accessible?,Opening time (SUN),Closing time (SUN) ,Opening time (FRI),Closing time (FRI),Opening time (SAT),Closing time (SAT)
Cherry Blossom Festival,"Traditional Japanese Performances, food stalls, and cultural exhibitions",1610 Geary Blvd,https://sfcherryblossom.org/,Outdoor ,Free,"Chill, Social, Romantic",High,Y,N,N,Crowded,Y,11:00 AM,5:00 PM,11:00 AM,5:00 PM,11:00 AM,5:00 PM
Earth Day Festival,"Earth Day celebration with live music, eco-friendly vendors, educational workshops.",750 Howard St.,https://yerbabuenagardens.org/events/2025earthday/,Outdoor ,Free,"Chill, Social, Romantic",Short,Y,N,N,Crowded,Y,6:00 AM,10:00 PM,6:00 AM,10:00 PM,6:00 AM,10:00 PM
SF Art Fair,Contemporary and Modern artworks from over 70 galleries.,"2 Marina Blvd Landmark Building C, Suite 260",https://sanfranciscoartfair.com/,Indoor,Free,"Chill, Social, Romantic",Short,Y,N,Y,Crowded,Y,11:00 AM,6:00 PM,11:00 AM,7:00 PM,11:00 AM,7:00 PM
Sunset Dunes Park,Oceanfront Park.,Great Hwy & Noriega St.,https://sfrecpark.org/1555/Sunset-Dunes,Outdoor ,Free,"Chill, Social, Romantic",High,N,N,N,Crowded,Y,7:00 AM,7:00 PM,7:00 AM,5:00 PM,7:00 AM,7:00 PM
Candlelight Concert ,Classical Music in candlelight settings,4705 3rd St.,https://www.san-francisco-theater.com/shows/bayview-opera-house/candlelight-rings-dragons,Indoor,High,Romantic,Medium,Y,N,N,Quiet,Y,6:30 PM,7:30 PM,6:30 PM,7:30 PM,6:30 PM,7:30 PM
SF Giants Home Game,Baseball Game,24 Willie Mays Plaza,https://www.mlb.com/giants,Outdoor,High,"Social, Sports",Short,Y,N,N,Crowded,Y,,,,,,
Fat Ham at SF Playhouse,"James Ijames' Pulitzer Prize-winning play: a modern, queer Southern reimagining of Shakespeare's Hamlet, set at a family barbecue. ",450 Post St.,https://www.sfplayhouse.org/sfph/2024-2025-season/fat-ham/?gad_source=1&gclid=Cj0KCQjwqv2_BhC0ARIsAFb5Ac_PZL3wgtD6MKEBr5RZrIHPc5j5p7ErY3qlyWIQ4m4-KwIfcF-M-zoaAuOiEALw_wcB,Indoor,Low,"Chill, Social, Romantic",Short,N,N,N,Crowded,Y,2:00 PM,3:40 PM,8:00 PM,9:40 PM,3:00 PM,4:40 PM
EmotionAir Installations,"Inflatable Installations, blending art with emotion in a sensory experience.",3601 Lyon St,https://tickets.balloonmuseum.world/emotion-air-san-francisco/?gad_source=1&gclid=Cj0KCQjwqv2_BhC0ARIsAFb5Ac8GVm8JeJQtqndnk1Xynk8Uce4j3ij6di9ZrCZO1vd8-p8veVG_M5EaAk2aEALw_wcB,Indoor,High,"Social, Romantic",Medium ,N,N,N,Crowded,Y,10:00 AM,8:00 PM,11:00 AM,8:00 PM,10:00 AM,9:00 PM
Bay Area Brew Festival,"Featuring over 50 beweries, beers, food trucks and DJs.",105 Montgomery St.,https://www.bayareabrewfestival.com/,Outdoor,High,"Social, Chill",Short,Y,N,N,Crowded,Y,x,x,x,x,1:00 PM,4:00 PM
Chess Night Game,Play chess with strangers and socialize,2131 Lombard Street,https://docs.google.com/spreadsheets/d/12YhXN0mMB7BfGv36T4jn-orYDwi7aN9JXiVeZ5eKl98/edit?gid=0#gid=0 ,Outdoor,Free,"Social, Chill",Medium,N,Y,Y,Crowded,Y,10:00 AM,8:00 PM,11:00 AM,8:00 PM,10:00 AM,9:00 PM
